,sofifa_id,age,height_cm,weight_kg,league_rank,overall,potential,value_eur,wage_eur,international_reputation,weak_foot,skill_moves,release_clause_eur,team_jersey_number,contract_valid_until,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
sofifa_id,1.0,-0.7512892589172624,-0.1082185839687131,-0.20843678640491412,-0.02788169347831255,-0.4867317602736877,0.016766565016417524,-0.17760915008739028,-0.2548313839502497,-0.3801327418209953,-0.10702471843057533,-0.12255703094046114,-0.16140996420819645,0.18516680877593905,0.17387186041246608,0.081973599742297,0.13169104847023863,-0.2947353361953253,-0.3998727274877634,-0.27167585895258,-0.23903700205743672,-0.3921524047246487,-0.4486852213037911,-0.4656635673958044,-0.39957594745149705,-0.42368770072055484,-0.4055371003791976,-0.5207924849526325,-0.15862142949157612,-0.11706486876624699,-0.1419312580251235,-0.176040805414631,-0.18869600940937847,-0.08025132923760053,-0.19647686080273594,-0.22128767719327963,-0.2244330186473969,-0.13722493762338647,0.08989060906858237,0.08793439191561477,-0.0626902649500733,-0.47159106731408607,0.01824020732724265,-0.31961657581696395,-0.2057969575566236,-0.10301029370229664,-0.2983103452134955,-0.19344012802708863,-0.24404767033816055,-0.17568726498733783,-0.126542148685649,-0.2541455548128721,-0.16959804857698843,-0.4143166473912917,,-0.09743641143167046,-0.07944843046712834,-0.11008132642047784,-0.11236387382137808,-0.11068809507537551,-0.1224785186996526,-0.10921692048358
age,-0.7512892589172624,1.0,0.08929746607930461,0.240206588602968,-0.068528388278906,0.4681967336272932,-0.26219540023445864,0.0849730881880879,0.1572835875619133,0.2752425569517153,0.073719928591769,0.06320953749760079,0.07133273699860004,-0.22150604732172813,-0.19303388281594774,-0.08475126039102308,-0.18311067225651584,0.24183748500508204,0.33992471286895914,0.18341393338911496,0.25484047539426424,0.4405329822002638,0.4570482173847233,0.48555684399876886,0.42263290211628535,0.43307244366337855,0.3669939112443412,0.5639468966938834,0.1279148277934232,0.08252824344337975,0.148628804687073,0.14700169451205908,0.13952088814468047,0.027099424774302827,0.1414590608930031,0.18262156552572023,0.18867780902986497,0.09422582271259713,-0.13691964632323636,-0.1306927659314321,-0.008175483842262634,0.45641632206808047,-0.07523994213847336,0.26795589777791007,0.20254061178448013,0.12120604057169868,0.3509081498208073,0.15609850997637578,0.2480750551800074,0.1871734436425919,0.0964305951155844,0.19881000991832815,0.13764662286267582,0.3610392177159283,,0.10721466824140286,0.09134431006862967,0.11422906558242295,0.11511323017822239,0.11543744314474087,0.12736597558033136,0.11451092865721667
height_cm,-0.1082185839687131,0.08929746607930461,1.0,0.7729940824191504,0.06123295946176702,0.031579341877064154,-0.011113029865036714,0.004123977396658015,0.022355740507625052,0.038902100802618425,-0.16554607488979273,-0.4195409165226558,0.0034327537613911044,-0.03834194606887791,-0.02947269262096366,-0.11035836610007156,-0.41030586356051024,-0.19454624287194058,-0.2743864476653387,-0.3819835893381661,0.20987431077576346,0.49073560437337904,0.1695836387376496,0.14542741120040373,0.10976441666167101,0.15576366213745774,-0.01871334809204039,0.16141479168884393,-0.48785407666220676,-0.3717217737011614,0.01255819805258627,-0.35381431796590607,-0.34387746039275086,-0.4790828380100233,-0.43866396885590075,-0.4024108899994635,-0.3186147921485414,-0.41052920880870436,-0.5427865905899643,-0.4595847258475658,-0.6128858395307655,-0.001272579732766326,-0.7651729567757782,-0.15818075349400593,-0.002794869393269252,-0.28320731609486577,0.5293853470369054,-0.37930018244653885,-0.0449841891409052,-0.05881886177963296,-0.43797316953535664,-0.3631375010038602,-0.32153110895859566,-0.1555090638272983,,-0.07402910236856244,-0.08002254979600117,0.3646162592687519,0.36424719586261334,0.3615525650950331,0.36445936665583506,0.3652825072525219
weight_kg,-0.20843678640491412,0.240206588602968,0.7729940824191504,1.0,0.005947469700330417,0.14624164636298168,-0.023859777960185503,0.04470995027586791,0.06150361973383071,0.0906226682931941,-0.12473827689699678,-0.34557606611741465,0.039706889038699233,-0.07658513572268198,-0.054751304599017225,-0.1120996378010889,-0.3676956060129094,-0.08873962368850713,-0.17122346926673032,-0.27791360781710245,0.20840523214059972,0.5790338203542844,0.271555053485062,0.28284565809857953,0.24809846183737227,0.26804401738923156,0.08236475857118077,0.3089076817677645,-0.3960886513554553,-0.2850877242527515,0.04646396966584928,-0.2729323968750059,-0.25527414138643617,-0.39826152972540996,-0.3465713298379295,-0.30970562020787995,-0.24442686195620075,-0.3282420182468783,-0.4795485045442107,-0.40444138084950887,-0.5290899338740844,0.10406230192160128,-0.6516199753720013,-0.04431939661492026,0.06675865689532644,-0.2165996028230262,0.6133074770080371,-0.27580694995889443,0.026546038629221176,-0.03532141549949685,-0.34766093399336334,-0.27370703322530493,-0.2349663856985865,-0.056998516503000814,,-0.060897515582027245,-0.07005524584797382,0.3361933011119963,0.3377022390679585,0.3340957612049057,0.34070479806372095,0.33765473847857647
league_rank,-0.02788169347831255,-0.068528388278906,0.06123295946176702,0.005947469700330417,1.0,-0.21709015471533197,-0.17032986192863367,-0.14432468657133202,-0.13636286467227368,-0.09453533066709409,-0.014389613710462506,-0.07549682063459014,-0.1411623202867054,-0.09630529346749994,-0.15115755486322577,0.037870462551903135,-0.006393988595389768,-0.1076309319760558,-0.17328691978239527,-0.14794595676149924,-0.06855969652385568,-0.03846963260299355,-0.17992834746900668,-0.17694064233168608,-0.1738800370018732,-0.18180559479518016,-0.024091404687913563,-0.18908146603607295,-0.0788329356404341,-0.06115863291948379,-0.057233055292978285,-0.12053901975385702,-0.07481709762951379,-0.07421075758623472,-0.08014705118969341,-0.07411219768539858,-0.10901530684661095,-0.09645174221685296,-0.004174554874851473,-0.00334222573600472,-0.016099232028260933,-0.19668689583086066,-0.00860462455615428,-0.11380867264293543,-0.011494215223226521,-0.014563034319017927,-0.018647264635900135,-0.0801438721718516,-0.0609789992004371,-0.05666289122376144,-0.07526807499116116,-0.1169905327738202,-0.060799644087537026,-0.1307997541755289,,-0.04363710514176008,-0.04034381138403351,-0.01228386596752712,-0.010221576893774427,-0.012294317980063562,-0.013803737910419334,-0.011449106392111476
overall,-0.4867317602736877,0.4681967336272932,0.031579341877064154,0.14624164636298168,-0.21709015471533197,1.0,0.6363662070314474,0.6300851207029944,0.5742296276383949,0.44098737149621214,0.2228135880849649,0.38136882361776464,0.6262768927325595,-0.18825829809432915,0.12366877419540652,-0.06596360004626582,0.20296249558182294,0.4883153198050786,0.7115209343754838,0.6410966503368352,0.3585237640508954,0.5303861254493831,0.9502982408917965,0.9292604192908208,0.8103926323624279,0.9478258013466048,0.49734973561534446,0.9469177527428059,0.41053041594882184,0.3254130084128593,0.32723919539804575,0.5021906327265053,0.37433026355039806,0.3784546740912353,0.42049454751661863,0.3856166542195393,0.4871472042657038,0.4493723532925472,0.20696191806580025,0.21574506039441274,0.2798886492554184,0.8672338024656486,0.12834894497302576,0.5583724802654952,0.28243964328981774,0.381869261986144,0.35804889883378604,0.4075253514160972,0.40191976694795595,0.32016165632622334,0.3542387372349585,0.5090872339657417,0.32819805790524315,0.7052520615548579,,0.26032519220944805,0.23239224962587116,0.003128288032807991,0.003453869429902658,-0.000511640383924137,0.012274397367976453,0.004052490834984237
potential,0.016766565016417524,-0.26219540023445864,-0.011113029865036714,-0.023859777960185503,-0.17032986192863367,0.6363662070314474,1.0,0.5719252730386402,0.47469619808242797,0.30835967378332935,0.16161622612440066,0.2972934726171677,0.5871084301480882,0.013797299243549001,0.2578308127166485,-0.02809161314085724,0.27155471068986464,0.2863006934297774,0.43848489437029714,0.47847214183349424,0.17450481989580618,0.1623325444229348,0.6795714736484884,0.6548069209292524,0.5681053311416175,0.6957363464726213,0.23851773782504151,0.6130518194217776,0.2575151568733016,0.21764767216271297,0.17978149575756983,0.35107072096913844,0.23076292244672333,0.30837869143671504,0.2772317203881949,0.215330033326743,0.3147371933161703,0.3325850020543416,0.24003667897021908,0.2406779305967664,0.23669697468344703,0.5129258133590001,0.15521517560791137,0.33630888278615517,0.11371069733822835,0.20866990654550058,0.06566710718665292,0.2433906856851229,0.1901174158299736,0.15878800753354033,0.22967564546710303,0.33928500277101337,0.19676913140635563,0.4259532621426548,,0.15861892892035648,0.14502821525724605,-0.035176932798577205,-0.03462217217481977,-0.03985651004750277,-0.033218876760127164,-0.034552210493382814
value_eur,-0.17760915008739028,0.0849730881880879,0.004123977396658015,0.04470995027586791,-0.14432468657133202,0.6300851207029944,0.5719252730386402,1.0,0.8401260510834828,0.5641924047531,0.16284195440514582,0.2937222892441869,0.9939883258060914,-0.07826712085947961,0.19060915043758217,-0.042776830646499536,0.20282939501489178,0.3396967589812511,0.4617922763001656,0.44594249230491523,0.17012475099831603,0.24834808373583941,0.558576443201019,0.5641065314313298,0.47900033362728894,0.5607216711403848,0.26948402226205503,0.526536426109461,0.2607274194062299,0.24215225339746047,0.1821184635849498,0.3296722768774512,0.270210123040614,0.2692412237686218,0.29069535356269466,0.2510801222114815,0.311819955211028,0.3004661062400605,0.1779533277196725,0.18219392951590066,0.20020335252303084,0.5580710917045671,0.12954084265932445,0.3542124844116801,0.1412397062532333,0.22647745394587823,0.14513713335021444,0.2688489040171417,0.20489048580626884,0.15788550342017565,0.2538305857963244,0.3664100831743209,0.2228839441424761,0.4470756056606551,,0.13171515828132718,0.11167220333517713,-0.012058592145098017,-0.01081570371382093,-0.01285273720875224,-0.009644366448373274,-0.010511630620643553
wage_eur,-0.2548313839502497,0.1572835875619133,0.022355740507625052,0.06150361973383071,-0.13636286467227368,0.5742296276383949,0.47469619808242797,0.8401260510834828,1.0,0.614370269771547,0.15077314803127856,0.265846205389702,0.835429312421439,-0.06463362950122768,0.13787224674078669,-0.06514289090185174,0.12992946661712096,0.30354509815273883,0.42139476461161923,0.39144406014630606,0.17809691119734403,0.23982203247017486,0.531825538989755,0.5341921703922577,0.4621721323504049,0.5319648240242391,0.27944100282924844,0.5049469626998203,0.24776870606231635,0.21852003517658833,0.19544571792012416,0.3093839763963767,0.25562557746009995,0.24596638519007083,0.27498939748627166,0.2416693946778397,0.29860389872891285,0.28195324256482784,0.13212232543172223,0.13537751925962357,0.1663200360586985,0.5127408693613659,0.10587733906937921,0.3340184461033615,0.14392415107503667,0.1961672108972566,0.15056704621346587,0.2509510132511162,0.21604831820950063,0.16851391485590916,0.23488863225428433,0.3351781353472724,0.22163614671535048,0.42496933070114384,,0.14182337557128216,0.12277768256526034,-0.019757435979759992,-0.019939875680485872,-0.02126317723379084,-0.018417882728571693,-0.01940838366061762
international_reputation,-0.3801327418209953,0.2752425569517153,0.038902100802618425,0.0906226682931941,-0.09453533066709409,0.44098737149621214,0.30835967378332935,0.5641924047531,0.614370269771547,1.0,0.12297002197870933,0.19554996072941566,0.5512549366759354,-0.050042773857962804,0.01505669371914982,-0.09625669424028577,-0.006978916566528527,0.2617601769074418,0.3446445516601319,0.28958372255873144,0.13285377929364972,0.1684482386423564,0.40472873964096445,0.4217199963975591,0.3610659457268193,0.3981949086587704,0.22699125651374952,0.4164297158895625,0.17878403256884912,0.16494488772625354,0.15009166233522972,0.22757879892091604,0.22784828391708956,0.16378588680512812,0.21863364477748776,0.2089120641186329,0.22907508769816268,0.20019510088018339,0.021560907229453828,0.019346305171461874,0.08815547354351772,0.40375025454238417,0.05121173037140168,0.27839946725815107,0.1118263261741036,0.07189465619660139,0.12500520735978693,0.19806296006903573,0.166537523202349,0.11970071369799605,0.17007723672206476,0.2716168617796089,0.2030106153173192,0.3586539361507714,,0.08592865202565467,0.07115064086348989,0.007302971373135193,0.007928942369896361,0.006660428732100332,0.010594669393773218,0.007121770932979424
weak_foot,-0.10702471843057533,0.073719928591769,-0.16554607488979273,-0.12473827689699678,-0.014389613710462506,0.2228135880849649,0.16161622612440066,0.16284195440514582,0.15077314803127856,0.12297002197870933,1.0,0.34523063952390737,0.16158883163497123,-0.02743274729166674,0.03164935757169695,0.030270280055679052,0.15682335172354836,0.33082707257592747,0.2873021157643111,0.3198686765154944,-0.11074715198189543,0.007889076259579915,0.16475530067053795,0.15447887899948368,0.21058835734563153,0.16610060014249184,0.11249304815991662,0.1390403229298343,0.3047182228915809,0.3697587837505508,0.18771067952979476,0.32349505017632324,0.3663037498663537,0.35513705139434115,0.3474574259566927,0.33404127905322956,0.28612786672913065,0.35055193468088824,0.26522133686464283,0.2533927075690334,0.30696616933923326,0.21447471167270998,0.25427481940917723,0.3188077434973111,0.07130724658713547,0.23477014661671428,0.007326930166755775,0.366295435276332,0.13587262249042464,0.04402613270632837,0.35295585278990577,0.34074905216146195,0.34318709912840034,0.3047447061426593,,0.033898764159600324,0.016409595564083154,-0.21590340147642292,-0.21682657530200264,-0.2118180099849843,-0.2149605085306756,-0.21631454988607446
skill_moves,-0.12255703094046114,0.06320953749760079,-0.4195409165226558,-0.34557606611741465,-0.07549682063459014,0.38136882361776464,0.2972934726171677,0.2937222892441869,0.265846205389702,0.19554996072941566,0.34523063952390737,1.0,0.29042284900719806,-0.03284020349673523,0.06752917719383744,0.12570121673966284,0.4181622627665651,0.6111144521014067,0.5932853823293697,0.6932802522163841,-0.20616723626109598,-0.05942196639298999,,,,,,,0.7312617800636997,0.739829980850756,0.43317505529190825,0.7054631651380813,0.7422331737137833,0.8120467631719982,0.7675815061522543,0.700108841809721,0.5983458875038208,0.7866773770952291,0.6487082661053423,0.61734054451483,0.6885667933456043,0.36827046756340137,0.5901030830259221,0.5640858122411694,0.09611718014707303,0.5566318042282768,-0.031528159418357675,0.7453812288660951,0.3534667987965601,0.20439893976403326,0.7727832571840698,0.6527121201754815,0.6902017769482997,0.6001643572669023,,0.20769365502143503,0.173611063081015,-0.6074644828073782,-0.6067927222282723,-0.6027622252164107,-0.6040795381208738,-0.6073987235073901
release_clause_eur,-0.16140996420819645,0.07133273699860004,0.0034327537613911044,0.039706889038699233,-0.1411623202867054,0.6262768927325595,0.5871084301480882,0.9939883258060914,0.835429312421439,0.5512549366759354,0.16158883163497123,0.29042284900719806,1.0,-0.07585274023349872,0.20278057688766274,-0.02847783932937797,0.2050549650386722,0.3362301906266269,0.4592033739604001,0.4453064856920093,0.17047776455182695,0.24163902012383068,0.5449924934342737,0.5556886779508105,0.4697698120432661,0.5462201743255536,0.2624207051995836,0.5148354115852812,0.2590207375826479,0.23993163573755133,0.18037528205571998,0.32847910127225394,0.26551885828281746,0.2687598136861973,0.2885807579493784,0.24698748347407076,0.31069767216922517,0.29949472422701867,0.17825447317908516,0.183242197195631,0.1985163386784177,0.5552000675971921,0.12840361871099074,0.3490397348572645,0.13567447287896175,0.22185306081783324,0.13958509779311057,0.26563250371353914,0.20171906028045491,0.1571477393461292,0.2514550604994817,0.3639142716643645,0.22049111111527012,0.4436320767754735,,0.13196402721167352,0.11246120962270767,-0.011835615473758585,-0.010564773889955819,-0.012586977998659293,-0.00922778083788831,-0.010114701513349082
team_jersey_number,0.18516680877593905,-0.22150604732172813,-0.03834194606887791,-0.07658513572268198,-0.09630529346749994,-0.18825829809432915,0.013797299243549001,-0.07826712085947961,-0.06463362950122768,-0.050042773857962804,-0.02743274729166674,-0.03284020349673523,-0.07585274023349872,1.0,0.06521571075034915,0.03616148750447835,0.028125694534851108,-0.021853892284533428,-0.10548061587356579,-0.043294412730530175,-0.14083722414021113,-0.20137017652425826,-0.19973537217766463,-0.21408972877918225,-0.22540064314861835,-0.18613106551836345,-0.16212861817385235,-0.23089048459772216,-0.05697011536777211,-0.015405346680326826,-0.0828194650710676,-0.09102581101276884,-0.021404009981242398,-0.021323770514345055,-0.043583422295842035,-0.053587816076056914,-0.10122080347779384,-0.06264192113632236,-0.0009233505936582316,-0.005760737656753794,-0.029810516691437656,-0.16672483200606478,0.006498180653395518,-0.05517143280413358,-0.10583774666648994,-0.1204214052809633,-0.1559746227768182,-0.03517365951545566,-0.11388069994554459,-0.12335287518836668,-0.025744899539242843,-0.06277038958618116,-0.029740190072995616,-0.13455825905903274,,-0.10039833414370389,-0.0905997444563643,-0.0020794534145515777,-0.0034557092253655946,-0.006978163872425145,-0.007553545760894823,-0.0025785509516955477
contract_valid_until,0.17387186041246608,-0.19303388281594774,-0.02947269262096366,-0.054751304599017225,-0.15115755486322577,0.12366877419540652,0.2578308127166485,0.19060915043758217,0.13787224674078669,0.01505669371914982,0.03164935757169695,0.06752917719383744,0.20278057688766274,0.06521571075034915,1.0,0.08529133325300342,0.09632595759568192,0.05953782463540182,0.07867428519810901,0.10830347277659676,0.0034747269415437076,-0.011987044387610323,0.12438725550950834,0.11615730758090806,0.09463924672935611,0.13641450047055603,0.04297929637267645,0.10484412961681985,0.04953786606223193,0.06208983044917297,0.03613267030849873,0.08323037180528253,0.05447951824658864,0.0795105305016629,0.04785271163856738,0.034331287437041474,0.053779398016365436,0.08501210963833135,0.08386817649239545,0.08677831662806965,0.054331053175267374,0.10758095296672039,0.05595428161016235,0.0523992247260005,-0.008524768213671563,0.05319371236989795,-0.02767467606607218,0.05736946724259421,0.003931055098749855,0.015584949697044055,0.06572230915203416,0.08017361809617513,0.03435730514909745,0.06571540462321189,,0.02409869595213204,0.023617864036312653,-0.02256601958277669,-0.020310469526178484,-0.023774774877804748,-0.022587526496523642,-0.02027941247002931
nation_jersey_number,0.081973599742297,-0.08475126039102308,-0.11035836610007156,-0.1120996378010889,0.037870462551903135,-0.06596360004626582,-0.02809161314085724,-0.042776830646499536,-0.06514289090185174,-0.09625669424028577,0.030270280055679052,0.12570121673966284,-0.02847783932937797,0.03616148750447835,0.08529133325300342,1.0,0.127262831422036,0.21025493460630768,0.0975303126934248,0.15993298414013632,-0.24605163531095242,-0.149978949951592,-0.2057769739132029,-0.19376417265442025,-0.1629474334102662,-0.19794814958484488,-0.08006847258036275,-0.17712408539782146,0.07055833781250452,0.1591152312145131,-0.06378641400946293,0.01603486070563434,0.1260737582008068,0.10605372584977964,0.101927804080053,0.10448185277713506,-0.011334633293449106,0.0631182401968346,0.1111528219949583,0.07338397637003091,0.11665022455341366,-0.051586951682356365,0.10738605638238213,0.10919280720621544,-0.08683418650250531,0.01800971055912954,-0.12417237829449412,0.14192255172861817,-0.08171530856563979,-0.14742108054961878,0.1262647615938654,0.10284312682001687,0.09941940080100292,-0.018410205070191178,,-0.15077059773288867,-0.16048420694901164,-0.04235257477740551,-0.045826612575885675,-0.040329415288714206,-0.038960016748029964,-0.040583855207346226
pace,0.13169104847023863,-0.18311067225651584,-0.41030586356051024,-0.3676956060129094,-0.006393988595389768,0.20296249558182294,0.27155471068986464,0.20282939501489178,0.12992946661712096,-0.006978916566528527,0.15682335172354836,0.4181622627665651,0.2050549650386722,0.028125694534851108,0.09632595759568192,0.127262831422036,1.0,0.35049565587382975,0.29491745444472695,0.541006249086649,-0.2863933929306586,-0.18069853709166978,,,,,,,0.4385506078571747,0.36792613619025216,-0.2716587330880454,0.15248194344329816,0.3056407996769742,0.5259075808040551,0.3600869050890818,0.21275306744295922,0.06355619587389338,0.35113149389043896,0.9621587329094455,0.9742008999655956,0.7123750792302116,0.11214450899919286,0.5364442682959497,0.22837959021828874,0.035745513605117726,0.26806651751060045,-0.3172696989727954,0.2995468036716526,-0.18977689274788373,-0.2671447683844092,0.4398929218045363,0.30194291562884223,0.20492973258712258,0.1131817989885942,,-0.27404504814606884,-0.26043897191945653,-0.008925891812973045,-0.002581168588469139,-0.007798248500258373,-0.024932669309230954,-0.013902735484587864
shooting,-0.2947353361953253,0.24183748500508204,-0.19454624287194058,-0.08873962368850713,-0.1076309319760558,0.4883153198050786,0.2863006934297774,0.3396967589812511,0.30354509815273883,0.2617601769074418,0.33082707257592747,0.6111144521014067,0.3362301906266269,-0.021853892284533428,0.05953782463540182,0.21025493460630768,0.35049565587382975,1.0,0.6547025327541154,0.7695470791593158,-0.40236544950419467,0.020285784907845578,,,,,,,0.5081124311968909,0.9640295895961805,0.07400301219582282,0.5195934302010254,0.8793543316077814,0.7627490141777903,0.7212526241306595,0.6531604220849642,0.3629802002059872,0.7235560457580525,0.3557698627598762,0.32682613773970437,0.4981844726273031,0.4694458237887359,0.32703680446542,0.8584891044659169,-0.03075734538556827,0.209358054973242,-0.033795558828967676,0.9258736053373361,-0.056549940766044,-0.37056915487387326,0.8594075416715589,0.7469767177491405,0.7981717690967062,0.5516779886377204,,-0.4335382158974479,-0.4683050457765656,0.023197072305535946,0.026637037118591167,0.04388754632759595,0.03566067603949931,0.03330080924352178
passing,-0.3998727274877634,0.33992471286895914,-0.2743864476653387,-0.17122346926673032,-0.17328691978239527,0.7115209343754838,0.43848489437029714,0.4617922763001656,0.42139476461161923,0.3446445516601319,0.2873021157643111,0.5932853823293697,0.4592033739604001,-0.10548061587356579,0.07867428519810901,0.0975303126934248,0.29491745444472695,0.6547025327541154,1.0,0.8342377493557391,0.17311927035251948,0.16454173071909056,,,,,,,0.8300636243743311,0.5435657690650803,0.02924393717431756,0.9032992211205167,0.5899070717642093,0.7848434991761605,0.8010490389277317,0.7510814019066593,0.8501850238677237,0.8486791130259197,0.3161328233521301,0.261446525168445,0.5255506950973844,0.6531508308152644,0.40008625877559534,0.6539256519235584,-0.012234977995412646,0.41599788162761536,-0.04188247483657246,0.710328560562735,0.24654538495682501,0.20031563520841902,0.6692399833824734,0.879085848636143,0.49779519433860403,0.7072336070238123,,0.14928526210910387,0.11955454575541473,0.03702547214241505,0.046449340772218774,0.0424253149145408,0.040688913082445446,0.032688974953657655
